3166-1-alpha-2,3166-1-alpha-3,worldpop_population_map,key
NZ,NZL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NZL/nzl_ppp_2020.tif,NZ
NI,NIC,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NIC/nic_ppp_2020.tif,NI
NE,NER,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NER/ner_ppp_2020.tif,NE
NG,NGA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NGA/nga_ppp_2020.tif,NG
NU,NIU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NIU/niu_ppp_2020.tif,NU
NF,NFK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NFK/nfk_ppp_2020.tif,NF
MP,MNP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MNP/mnp_ppp_2020.tif,MP
NO,NOR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NOR/nor_ppp_2020.tif,NO
OM,OMN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/OMN/omn_ppp_2020.tif,OM
PK,PAK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PAK/pak_ppp_2020.tif,PK
PW,PLW,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PLW/plw_ppp_2020.tif,PW
PS,PSE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PSE/pse_ppp_2020.tif,PS
PS,PSE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PSE/pse_ppp_2020.tif,PS
PA,PAN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PAN/pan_ppp_2020.tif,PA
PG,PNG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PNG/png_ppp_2020.tif,PG
PY,PRY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PRY/pry_ppp_2020.tif,PY
PE,PER,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PER/per_ppp_2020.tif,PE
PH,PHL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PHL/phl_ppp_2020.tif,PH
PN,PCN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PCN/pcn_ppp_2020.tif,PN
PL,POL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/POL/pol_ppp_2020.tif,PL
PT,PRT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PRT/prt_ppp_2020.tif,PT
PR,PRI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PRI/pri_ppp_2020.tif,PR
QA,QAT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/QAT/qat_ppp_2020.tif,QA
MK,MKD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MKD/mkd_ppp_2020.tif,MK
RO,ROU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ROU/rou_ppp_2020.tif,RO
RU,RUS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/RUS/rus_ppp_2020.tif,RU
RW,RWA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/RWA/rwa_ppp_2020.tif,RW
RE,REU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/REU/reu_ppp_2020.tif,RE
SH,SHN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SHN/shn_ppp_2020.tif,SH
KN,KNA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KNA/kna_ppp_2020.tif,KN
LC,LCA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LCA/lca_ppp_2020.tif,LC
PM,SPM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SPM/spm_ppp_2020.tif,PM
VC,VCT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/VCT/vct_ppp_2020.tif,VC
WS,WSM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/WSM/wsm_ppp_2020.tif,WS
SM,SMR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SMR/smr_ppp_2020.tif,SM
ST,STP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/STP/stp_ppp_2020.tif,ST
SA,SAU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SAU/sau_ppp_2020.tif,SA
SN,SEN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SEN/sen_ppp_2020.tif,SN
RS,SRB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SRB/srb_ppp_2020.tif,RS
SC,SYC,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SYC/syc_ppp_2020.tif,SC
SL,SLE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SLE/sle_ppp_2020.tif,SL
SG,SGP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SGP/sgp_ppp_2020.tif,SG
SX,SXM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SXM/sxm_ppp_2020.tif,SX
